"","fid","min","firstqu","median","mean","trirdqu","max","band"
"319","S2.16D_V2_028022_20220930_NDVI",-7083,2714,4075,4274,5705,8975,"NDVI"
"320","S2.16D_V2_028022_20220914_NDVI",-7890,2417,3516,3826,4981,9735,"NDVI"
"321","S2.16D_V2_028022_20220829_NDVI",-9393,2272,3305,3652,4721,9555,"NDVI"
"322","S2.16D_V2_028022_20220813_NDVI",-7215,2368,3439,3760,4891,9273,"NDVI"
"323","S2.16D_V2_028022_20220728_NDVI",-6962,2751,3883,4140,5443,9224,"NDVI"
"324","S2.16D_V2_028022_20220712_NDVI",-7558,3041,4282,4507,5977,9510,"NDVI"
"325","S2.16D_V2_028022_20220626_NDVI",-7582,3293,4574,4745,6252,9488,"NDVI"
"326","S2.16D_V2_028022_20220610_NDVI",-7057,3676,4987,5052,6561,9341,"NDVI"
"327","S2.16D_V2_028022_20220525_NDVI",-7334,4156,5491,5439,6985,9400,"NDVI"
"328","S2.16D_V2_028022_20220509_NDVI",-5290,4542,5804,5671,7150,9243,"NDVI"
"329","S2.16D_V2_028022_20220423_NDVI",-5562,5126,6371,6137,7621,9347,"NDVI"
"330","S2.16D_V2_028022_20220407_NDVI",-5809,5115,6421,6099,7576,9250,"NDVI"
"331","S2.16D_V2_028022_20220322_NDVI",-5334,5408,6659,6308,7748,9371,"NDVI"
"332","S2.16D_V2_028022_20220306_NDVI",-6848,4035,6139,5530,7285,9590,"NDVI"
"333","S2.16D_V2_028022_20220218_NDVI",-5951,4909,6595,6037,7690,9763,"NDVI"
"334","S2.16D_V2_028022_20220202_NDVI",-7295,-326,440,1671,3419,9893,"NDVI"
"335","S2.16D_V2_028022_20220117_NDVI",-7992,5042,6658,6182,7871,9838,"NDVI"
"336","S2.16D_V2_028022_20220101_NDVI",-9772,912,3642,3892,6694,9993,"NDVI"
"337","S2.16D_V2_028022_20230101_SCL",1,4,4,4.622,4,10,"SCL"
"338","S2.16D_V2_028022_20221219_SCL",1,4,8,6.585,9,10,"SCL"
"339","S2.16D_V2_028022_20221203_SCL",1,4,7,6.461,9,10,"SCL"
"340","S2.16D_V2_028022_20221117_SCL",1,4,5,5.794,8,10,"SCL"
"341","S2.16D_V2_028022_20221101_SCL",1,4,4,4.48,5,10,"SCL"
"342","S2.16D_V2_028022_20221016_SCL",2,4,5,4.722,5,10,"SCL"
"343","S2.16D_V2_028022_20220930_SCL",2,4,5,4.603,5,10,"SCL"
"344","S2.16D_V2_028022_20220914_SCL",2,4,5,4.752,5,10,"SCL"
"345","S2.16D_V2_028022_20220829_SCL",1,5,5,4.773,5,7,"SCL"
"346","S2.16D_V2_028022_20220813_SCL",2,4,5,4.742,5,7,"SCL"
"347","S2.16D_V2_028022_20220728_SCL",2,4,5,4.674,5,7,"SCL"
"348","S2.16D_V2_028022_20220712_SCL",1,4,5,4.593,5,7,"SCL"
"349","S2.16D_V2_028022_20220626_SCL",4,4,5,4.539,5,6,"SCL"
"350","S2.16D_V2_028022_20220610_SCL",1,4,4,4.461,5,7,"SCL"
