Hectares,MUNIC_CD,MUNIC_NOME,Polo_Nome,Polo_Tipo,UF,UGRH_ID,UGRH_Nome,din_class,din_classF,latitude,longitude
106.89581203,5101001,Araguaiana,,,MT,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-15.634342146878664,-51.86291134245816
120.51967056,5101001,Araguaiana,,,MT,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-15.623971650393488,-51.866563719568674
38.17559864,5213707,Montes Claros de Goiás,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-15.694496898781615,-51.69981692405389
131.58810143,5213707,Montes Claros de Goiás,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-15.691832919884053,-51.708762993366555
95.47896742,5213707,Montes Claros de Goiás,,,GO,38,Tocantins-Araguaia,SC,SAFRA SIMPLES,-15.923734199342274,-51.69285486205926
83.52449334,5213707,Montes Claros de Goiás,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-15.701395990415048,-51.704623632697995
25.51889267,5219258,Santa Fé de Goiás,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-15.83480802483552,-51.06370754681667
21.91614515,5219258,Santa Fé de Goiás,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-15.832012130436611,-51.05940078551472
83.13172453,5212204,Jussara,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-15.79472676610508,-50.98343134231261
32.81367724,5212204,Jussara,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,SC,SAFRA SIMPLES,-15.665654296258733,-51.43734191724795
123.98809386,5212204,Jussara,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,SC,SAFRA SIMPLES,-15.577897266972988,-51.35803967995681
127.19782075,5212204,Jussara,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,SC,SAFRA SIMPLES,-15.568496634129332,-51.35095178575738
75.57622355,5212204,Jussara,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-15.578593271334181,-51.34050826998383
49.33946025,5212204,Jussara,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,TC,SAFRA TRIPLA,-15.629366795886758,-51.244718974312654
30.53766181,5212204,Jussara,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,TC,SAFRA TRIPLA,-15.623697078010746,-51.24788627004307
46.28751201,5219258,Santa Fé de Goiás,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-15.649217060857097,-51.162728815730425
62.29318531,5211008,Itapirapuã,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-15.666623914792401,-50.902685274735774
89.38929233,5211008,Itapirapuã,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-15.675753964770838,-50.901863489881336
51.56115286,5211008,Itapirapuã,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-15.656041584072737,-50.910184061388094
100.39048155,5203401,Bom Jardim de Goiás,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-16.16646772650669,-51.91968251437196
22.98560621,5220108,São Luís de Montes Belos,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-16.307105011199425,-50.39579623917247
